#file    phi    psi    fc1    fc2
COLVAR+0.75+0.0.xvg    +0.0    +0.75     100.0    100.0
COLVAR+0.75+0.25.xvg    +0.25    +0.75     100.0    100.0
COLVAR+0.75+0.5.xvg    +0.5    +0.75     100.0    100.0
COLVAR+0.75+0.75.xvg    +0.75    +0.75     100.0    100.0
COLVAR+0.75+1.0.xvg    +1.0    +0.75     100.0    100.0
COLVAR+0.75+1.25.xvg    +1.25    +0.75     100.0    100.0
COLVAR+0.75+1.5.xvg    +1.5    +0.75     100.0    100.0
COLVAR+0.75+1.75.xvg    +1.75    +0.75     100.0    100.0
COLVAR+0.75+2.0.xvg    +2.0    +0.75     100.0    100.0
COLVAR+0.75+2.25.xvg    +2.25    +0.75     100.0    100.0
COLVAR+0.75+2.5.xvg    +2.5    +0.75     100.0    100.0
COLVAR+0.75+2.75.xvg    +2.75    +0.75     100.0    100.0
COLVAR+0.75+3.0.xvg    +3.0    +0.75     100.0    100.0
COLVAR+1.0-3.0.xvg    -3.0    +1.0     100.0    100.0
COLVAR+1.0-2.75.xvg    -2.75    +1.0     100.0    100.0
COLVAR+1.0-2.5.xvg    -2.5    +1.0     100.0    100.0
COLVAR+1.0-2.25.xvg    -2.25    +1.0     100.0    100.0
COLVAR+1.0-2.0.xvg    -2.0    +1.0     100.0    100.0
COLVAR+1.0-1.75.xvg    -1.75    +1.0     100.0    100.0
COLVAR+1.0-1.5.xvg    -1.5    +1.0     100.0    100.0
COLVAR+1.0-1.25.xvg    -1.25    +1.0     100.0    100.0
COLVAR+1.0-1.0.xvg    -1.0    +1.0     100.0    100.0
COLVAR+1.0-0.75.xvg    -0.75    +1.0     100.0    100.0
COLVAR+1.0-0.5.xvg    -0.5    +1.0     100.0    100.0
COLVAR+1.0-0.25.xvg    -0.25    +1.0     100.0    100.0
COLVAR+1.0+0.0.xvg    +0.0    +1.0     100.0    100.0
COLVAR+1.0+0.25.xvg    +0.25    +1.0     100.0    100.0
COLVAR+1.0+0.5.xvg    +0.5    +1.0     100.0    100.0
COLVAR+1.0+0.75.xvg    +0.75    +1.0     100.0    100.0
COLVAR+1.0+1.0.xvg    +1.0    +1.0     100.0    100.0
COLVAR+1.0+1.25.xvg    +1.25    +1.0     100.0    100.0
COLVAR+1.0+1.5.xvg    +1.5    +1.0     100.0    100.0
COLVAR+1.0+1.75.xvg    +1.75    +1.0     100.0    100.0
COLVAR+1.0+2.0.xvg    +2.0    +1.0     100.0    100.0
COLVAR+1.0+2.25.xvg    +2.25    +1.0     100.0    100.0
COLVAR+1.0+2.5.xvg    +2.5    +1.0     100.0    100.0
COLVAR+1.0+2.75.xvg    +2.75    +1.0     100.0    100.0
COLVAR+1.0+3.0.xvg    +3.0    +1.0     100.0    100.0
COLVAR+1.25-3.0.xvg    -3.0    +1.25     100.0    100.0
COLVAR+1.25-2.75.xvg    -2.75    +1.25     100.0    100.0
COLVAR+1.25-2.5.xvg    -2.5    +1.25     100.0    100.0
COLVAR+1.25-2.25.xvg    -2.25    +1.25     100.0    100.0
COLVAR+1.25-2.0.xvg    -2.0    +1.25     100.0    100.0
COLVAR+1.25-1.75.xvg    -1.75    +1.25     100.0    100.0
COLVAR+1.25-1.5.xvg    -1.5    +1.25     100.0    100.0
COLVAR+1.25-1.25.xvg    -1.25    +1.25     100.0    100.0
COLVAR+1.25-1.0.xvg    -1.0    +1.25     100.0    100.0
COLVAR+1.25-0.75.xvg    -0.75    +1.25     100.0    100.0
COLVAR+1.25-0.5.xvg    -0.5    +1.25     100.0    100.0
COLVAR+1.25-0.25.xvg    -0.25    +1.25     100.0    100.0
COLVAR+1.25+0.0.xvg    +0.0    +1.25     100.0    100.0
COLVAR+1.25+0.25.xvg    +0.25    +1.25     100.0    100.0
COLVAR+1.25+0.5.xvg    +0.5    +1.25     100.0    100.0
COLVAR+1.25+0.75.xvg    +0.75    +1.25     100.0    100.0
COLVAR+1.25+1.0.xvg    +1.0    +1.25     100.0    100.0
COLVAR+1.25+1.25.xvg    +1.25    +1.25     100.0    100.0
COLVAR+1.25+1.5.xvg    +1.5    +1.25     100.0    100.0
COLVAR+1.25+1.75.xvg    +1.75    +1.25     100.0    100.0
COLVAR+1.25+2.0.xvg    +2.0    +1.25     100.0    100.0
COLVAR+1.25+2.25.xvg    +2.25    +1.25     100.0    100.0
COLVAR+1.25+2.5.xvg    +2.5    +1.25     100.0    100.0
COLVAR+1.25+2.75.xvg    +2.75    +1.25     100.0    100.0
COLVAR+1.25+3.0.xvg    +3.0    +1.25     100.0    100.0
COLVAR+1.5-3.0.xvg    -3.0    +1.5     100.0    100.0
COLVAR+1.5-2.75.xvg    -2.75    +1.5     100.0    100.0
COLVAR+1.5-2.5.xvg    -2.5    +1.5     100.0    100.0
COLVAR+1.5-2.25.xvg    -2.25    +1.5     100.0    100.0
COLVAR+1.5-2.0.xvg    -2.0    +1.5     100.0    100.0
COLVAR+1.5-1.75.xvg    -1.75    +1.5     100.0    100.0
COLVAR+1.5-1.5.xvg    -1.5    +1.5     100.0    100.0
COLVAR+1.5-1.25.xvg    -1.25    +1.5     100.0    100.0
COLVAR+1.5-1.0.xvg    -1.0    +1.5     100.0    100.0
COLVAR+1.5-0.75.xvg    -0.75    +1.5     100.0    100.0
COLVAR+1.5-0.5.xvg    -0.5    +1.5     100.0    100.0
COLVAR+1.5-0.25.xvg    -0.25    +1.5     100.0    100.0
COLVAR+1.5+0.0.xvg    +0.0    +1.5     100.0    100.0
COLVAR+1.5+0.25.xvg    +0.25    +1.5     100.0    100.0
COLVAR+1.5+0.5.xvg    +0.5    +1.5     100.0    100.0
COLVAR+1.5+0.75.xvg    +0.75    +1.5     100.0    100.0
COLVAR+1.5+1.0.xvg    +1.0    +1.5     100.0    100.0
COLVAR+1.5+1.25.xvg    +1.25    +1.5     100.0    100.0
COLVAR+1.5+1.5.xvg    +1.5    +1.5     100.0    100.0
COLVAR+1.5+1.75.xvg    +1.75    +1.5     100.0    100.0
COLVAR+1.5+2.0.xvg    +2.0    +1.5     100.0    100.0
COLVAR+1.5+2.25.xvg    +2.25    +1.5     100.0    100.0
COLVAR+1.5+2.5.xvg    +2.5    +1.5     100.0    100.0
COLVAR+1.5+2.75.xvg    +2.75    +1.5     100.0    100.0
COLVAR+1.5+3.0.xvg    +3.0    +1.5     100.0    100.0
COLVAR+1.75-3.0.xvg    -3.0    +1.75     100.0    100.0
COLVAR+1.75-2.75.xvg    -2.75    +1.75     100.0    100.0
COLVAR+1.75-2.5.xvg    -2.5    +1.75     100.0    100.0
COLVAR+1.75-2.25.xvg    -2.25    +1.75     100.0    100.0
COLVAR+1.75-2.0.xvg    -2.0    +1.75     100.0    100.0
COLVAR+1.75-1.75.xvg    -1.75    +1.75     100.0    100.0
COLVAR+1.75-1.5.xvg    -1.5    +1.75     100.0    100.0
COLVAR+1.75-1.25.xvg    -1.25    +1.75     100.0    100.0
COLVAR+1.75-1.0.xvg    -1.0    +1.75     100.0    100.0
COLVAR+1.75-0.75.xvg    -0.75    +1.75     100.0    100.0
COLVAR+1.75-0.5.xvg    -0.5    +1.75     100.0    100.0
COLVAR+1.75-0.25.xvg    -0.25    +1.75     100.0    100.0
COLVAR+1.75+0.0.xvg    +0.0    +1.75     100.0    100.0
COLVAR+1.75+0.25.xvg    +0.25    +1.75     100.0    100.0
COLVAR+1.75+0.5.xvg    +0.5    +1.75     100.0    100.0
COLVAR+1.75+0.75.xvg    +0.75    +1.75     100.0    100.0
COLVAR+1.75+1.0.xvg    +1.0    +1.75     100.0    100.0
COLVAR+1.75+1.25.xvg    +1.25    +1.75     100.0    100.0
COLVAR+1.75+1.5.xvg    +1.5    +1.75     100.0    100.0
COLVAR+1.75+1.75.xvg    +1.75    +1.75     100.0    100.0
COLVAR+1.75+2.0.xvg    +2.0    +1.75     100.0    100.0
COLVAR+1.75+2.25.xvg    +2.25    +1.75     100.0    100.0
COLVAR+1.75+2.5.xvg    +2.5    +1.75     100.0    100.0
COLVAR+1.75+2.75.xvg    +2.75    +1.75     100.0    100.0
COLVAR+1.75+3.0.xvg    +3.0    +1.75     100.0    100.0
COLVAR+2.0-3.0.xvg    -3.0    +2.0     100.0    100.0
COLVAR+2.0-2.75.xvg    -2.75    +2.0     100.0    100.0
COLVAR+2.0-2.5.xvg    -2.5    +2.0     100.0    100.0
COLVAR+2.0-2.25.xvg    -2.25    +2.0     100.0    100.0
COLVAR+2.0-2.0.xvg    -2.0    +2.0     100.0    100.0
COLVAR+2.0-1.75.xvg    -1.75    +2.0     100.0    100.0
COLVAR+2.0-1.5.xvg    -1.5    +2.0     100.0    100.0
COLVAR+2.0-1.25.xvg    -1.25    +2.0     100.0    100.0
COLVAR+2.0-1.0.xvg    -1.0    +2.0     100.0    100.0
COLVAR+2.0-0.75.xvg    -0.75    +2.0     100.0    100.0
COLVAR+2.0-0.5.xvg    -0.5    +2.0     100.0    100.0
COLVAR+2.0-0.25.xvg    -0.25    +2.0     100.0    100.0
COLVAR+2.0+0.0.xvg    +0.0    +2.0     100.0    100.0
COLVAR+2.0+0.25.xvg    +0.25    +2.0     100.0    100.0
COLVAR+2.0+0.5.xvg    +0.5    +2.0     100.0    100.0
COLVAR+2.0+0.75.xvg    +0.75    +2.0     100.0    100.0
COLVAR+2.0+1.0.xvg    +1.0    +2.0     100.0    100.0
COLVAR+2.0+1.25.xvg    +1.25    +2.0     100.0    100.0
COLVAR+2.0+1.5.xvg    +1.5    +2.0     100.0    100.0
COLVAR+2.0+1.75.xvg    +1.75    +2.0     100.0    100.0
COLVAR+2.0+2.0.xvg    +2.0    +2.0     100.0    100.0
COLVAR+2.0+2.25.xvg    +2.25    +2.0     100.0    100.0
COLVAR+2.0+2.5.xvg    +2.5    +2.0     100.0    100.0
COLVAR+2.0+2.75.xvg    +2.75    +2.0     100.0    100.0
COLVAR+2.0+3.0.xvg    +3.0    +2.0     100.0    100.0
COLVAR+2.25-3.0.xvg    -3.0    +2.25     100.0    100.0
COLVAR+2.25-2.75.xvg    -2.75    +2.25     100.0    100.0
COLVAR+2.25-2.5.xvg    -2.5    +2.25     100.0    100.0
COLVAR+2.25-2.25.xvg    -2.25    +2.25     100.0    100.0
COLVAR+2.25-2.0.xvg    -2.0    +2.25     100.0    100.0
COLVAR+2.25-1.75.xvg    -1.75    +2.25     100.0    100.0
COLVAR+2.25-1.5.xvg    -1.5    +2.25     100.0    100.0
COLVAR+2.25-1.25.xvg    -1.25    +2.25     100.0    100.0
COLVAR+2.25-1.0.xvg    -1.0    +2.25     100.0    100.0
COLVAR+2.25-0.75.xvg    -0.75    +2.25     100.0    100.0
COLVAR+2.25-0.5.xvg    -0.5    +2.25     100.0    100.0
COLVAR+2.25-0.25.xvg    -0.25    +2.25     100.0    100.0
COLVAR+2.25+0.0.xvg    +0.0    +2.25     100.0    100.0
COLVAR+2.25+0.25.xvg    +0.25    +2.25     100.0    100.0
COLVAR+2.25+0.5.xvg    +0.5    +2.25     100.0    100.0
COLVAR+2.25+0.75.xvg    +0.75    +2.25     100.0    100.0
COLVAR+2.25+1.0.xvg    +1.0    +2.25     100.0    100.0
COLVAR+2.25+1.25.xvg    +1.25    +2.25     100.0    100.0
COLVAR+2.25+1.5.xvg    +1.5    +2.25     100.0    100.0
COLVAR+2.25+1.75.xvg    +1.75    +2.25     100.0    100.0
COLVAR+2.25+2.0.xvg    +2.0    +2.25     100.0    100.0
COLVAR+2.25+2.25.xvg    +2.25    +2.25     100.0    100.0
COLVAR+2.25+2.5.xvg    +2.5    +2.25     100.0    100.0
COLVAR+2.25+2.75.xvg    +2.75    +2.25     100.0    100.0
COLVAR+2.25+3.0.xvg    +3.0    +2.25     100.0    100.0
COLVAR+2.5-3.0.xvg    -3.0    +2.5     100.0    100.0
COLVAR+2.5-2.75.xvg    -2.75    +2.5     100.0    100.0
COLVAR+2.5-2.5.xvg    -2.5    +2.5     100.0    100.0
COLVAR+2.5-2.25.xvg    -2.25    +2.5     100.0    100.0
COLVAR+2.5-2.0.xvg    -2.0    +2.5     100.0    100.0
COLVAR+2.5-1.75.xvg    -1.75    +2.5     100.0    100.0
COLVAR+2.5-1.5.xvg    -1.5    +2.5     100.0    100.0
COLVAR+2.5-1.25.xvg    -1.25    +2.5     100.0    100.0
COLVAR+2.5-1.0.xvg    -1.0    +2.5     100.0    100.0
COLVAR+2.5-0.75.xvg    -0.75    +2.5     100.0    100.0
COLVAR+2.5-0.5.xvg    -0.5    +2.5     100.0    100.0
COLVAR+2.5-0.25.xvg    -0.25    +2.5     100.0    100.0
COLVAR+2.5+0.0.xvg    +0.0    +2.5     100.0    100.0
COLVAR+2.5+0.25.xvg    +0.25    +2.5     100.0    100.0
COLVAR+2.5+0.5.xvg    +0.5    +2.5     100.0    100.0
COLVAR+2.5+0.75.xvg    +0.75    +2.5     100.0    100.0
COLVAR+2.5+1.0.xvg    +1.0    +2.5     100.0    100.0
COLVAR+2.5+1.25.xvg    +1.25    +2.5     100.0    100.0
COLVAR+2.5+1.5.xvg    +1.5    +2.5     100.0    100.0
COLVAR+2.5+1.75.xvg    +1.75    +2.5     100.0    100.0
COLVAR+2.5+2.0.xvg    +2.0    +2.5     100.0    100.0
COLVAR+2.5+2.25.xvg    +2.25    +2.5     100.0    100.0
COLVAR+2.5+2.5.xvg    +2.5    +2.5     100.0    100.0
COLVAR+2.5+2.75.xvg    +2.75    +2.5     100.0    100.0
COLVAR+2.5+3.0.xvg    +3.0    +2.5     100.0    100.0
COLVAR+2.75-3.0.xvg    -3.0    +2.75     100.0    100.0
COLVAR+2.75-2.75.xvg    -2.75    +2.75     100.0    100.0
COLVAR+2.75-2.5.xvg    -2.5    +2.75     100.0    100.0
COLVAR+2.75-2.25.xvg    -2.25    +2.75     100.0    100.0
COLVAR+2.75-2.0.xvg    -2.0    +2.75     100.0    100.0
COLVAR+2.75-1.75.xvg    -1.75    +2.75     100.0    100.0
COLVAR+2.75-1.5.xvg    -1.5    +2.75     100.0    100.0
COLVAR+2.75-1.25.xvg    -1.25    +2.75     100.0    100.0
COLVAR+2.75-1.0.xvg    -1.0    +2.75     100.0    100.0
COLVAR+2.75-0.75.xvg    -0.75    +2.75     100.0    100.0
COLVAR+2.75-0.5.xvg    -0.5    +2.75     100.0    100.0
COLVAR+2.75-0.25.xvg    -0.25    +2.75     100.0    100.0
COLVAR+2.75+0.0.xvg    +0.0    +2.75     100.0    100.0
COLVAR+2.75+0.25.xvg    +0.25    +2.75     100.0    100.0
COLVAR+2.75+0.5.xvg    +0.5    +2.75     100.0    100.0
COLVAR+2.75+0.75.xvg    +0.75    +2.75     100.0    100.0
COLVAR+2.75+1.0.xvg    +1.0    +2.75     100.0    100.0
COLVAR+2.75+1.25.xvg    +1.25    +2.75     100.0    100.0
COLVAR+2.75+1.5.xvg    +1.5    +2.75     100.0    100.0
COLVAR+2.75+1.75.xvg    +1.75    +2.75     100.0    100.0
COLVAR+2.75+2.0.xvg    +2.0    +2.75     100.0    100.0
COLVAR+2.75+2.25.xvg    +2.25    +2.75     100.0    100.0
COLVAR+2.75+2.5.xvg    +2.5    +2.75     100.0    100.0
COLVAR+2.75+2.75.xvg    +2.75    +2.75     100.0    100.0
COLVAR+2.75+3.0.xvg    +3.0    +2.75     100.0    100.0
COLVAR+3.0-3.0.xvg    -3.0    +3.0     100.0    100.0
COLVAR+3.0-2.75.xvg    -2.75    +3.0     100.0    100.0
COLVAR+3.0-2.5.xvg    -2.5    +3.0     100.0    100.0
COLVAR+3.0-2.25.xvg    -2.25    +3.0     100.0    100.0
COLVAR+3.0-2.0.xvg    -2.0    +3.0     100.0    100.0
COLVAR+3.0-1.75.xvg    -1.75    +3.0     100.0    100.0
COLVAR+3.0-1.5.xvg    -1.5    +3.0     100.0    100.0
COLVAR+3.0-1.25.xvg    -1.25    +3.0     100.0    100.0
COLVAR+3.0-1.0.xvg    -1.0    +3.0     100.0    100.0
COLVAR+3.0-0.75.xvg    -0.75    +3.0     100.0    100.0
COLVAR+3.0-0.5.xvg    -0.5    +3.0     100.0    100.0
COLVAR+3.0-0.25.xvg    -0.25    +3.0     100.0    100.0
COLVAR+3.0+0.0.xvg    +0.0    +3.0     100.0    100.0
COLVAR+3.0+0.25.xvg    +0.25    +3.0     100.0    100.0
COLVAR+3.0+0.5.xvg    +0.5    +3.0     100.0    100.0
COLVAR+3.0+0.75.xvg    +0.75    +3.0     100.0    100.0
COLVAR+3.0+1.0.xvg    +1.0    +3.0     100.0    100.0
COLVAR+3.0+1.25.xvg    +1.25    +3.0     100.0    100.0
COLVAR+3.0+1.5.xvg    +1.5    +3.0     100.0    100.0
COLVAR+3.0+1.75.xvg    +1.75    +3.0     100.0    100.0
COLVAR+3.0+2.0.xvg    +2.0    +3.0     100.0    100.0
COLVAR+3.0+2.25.xvg    +2.25    +3.0     100.0    100.0
COLVAR+3.0+2.5.xvg    +2.5    +3.0     100.0    100.0
COLVAR+3.0+2.75.xvg    +2.75    +3.0     100.0    100.0
COLVAR+3.0+3.0.xvg    +3.0    +3.0     100.0    100.0
